Month,GDP
1/1/2001,1638.071284
2/1/2001,1637.154237
3/1/2001,1636.23719
4/1/2001,1635.320144
5/1/2001,1634.403097
6/1/2001,1633.48605
7/1/2001,1632.569004
8/1/2001,1631.651957
9/1/2001,1630.73491
10/1/2001,1629.817864
11/1/2001,1628.900817
12/1/2001,1627.98377
1/1/2002,1631.45611
2/1/2002,1634.930471
3/1/2002,1638.404832
4/1/2002,1641.879193
5/1/2002,1645.353554
6/1/2002,1648.827915
7/1/2002,1652.302276
8/1/2002,1655.776637
9/1/2002,1659.250998
10/1/2002,1662.725359
11/1/2002,1666.19972
12/1/2002,1669.674081
1/1/2003,1675.955488
2/1/2003,1682.236236
3/1/2003,1688.516985
4/1/2003,1694.797734
5/1/2003,1701.078483
6/1/2003,1707.359231
7/1/2003,1713.63998
8/1/2003,1719.920729
9/1/2003,1726.201478
10/1/2003,1732.482226
11/1/2003,1738.762975
12/1/2003,1745.043724
1/1/2004,1752.357992
2/1/2004,1930.877616
3/1/2004,1766.98124
4/1/2004,1774.292864
5/1/2004,1781.604489
6/1/2004,1788.916113
7/1/2004,1796.227737
8/1/2004,1803.539361
9/1/2004,1810.850985
10/1/2004,1818.16261
11/1/2004,1825.474234
12/1/2004,1832.785858
1/1/2005,1839.251499
2/1/2005,1845.713323
3/1/2005,1852.175148
4/1/2005,1858.636973
5/1/2005,1865.098798
6/1/2005,1871.560623
7/1/2005,1878.022448
8/1/2005,1884.484272
9/1/2005,1985.609097
10/1/2005,1897.407922
11/1/2005,1903.869747
12/1/2005,1910.331572
1/1/2006,1915.761496
2/1/2006,1921.187946
3/1/2006,1926.614395
4/1/2006,1932.040845
5/1/2006,1937.467294
6/1/2006,1942.893744
7/1/2006,1948.320194
8/1/2006,1953.746643
9/1/2006,1959.173093
10/1/2006,1964.599542
11/1/2006,1970.025992
12/1/2006,1975.452442
1/1/2007,1977.446454
2/1/2007,1979.436624
3/1/2007,1981.426795
4/1/2007,1983.416965
5/1/2007,1985.407135
6/1/2007,1966.776744
7/1/2007,1989.387476
8/1/2007,1991.377647
9/1/2007,1993.367817
10/1/2007,1995.357987
11/1/2007,1997.348158
12/1/2007,1999.338328
1/1/2008,1998.832203
2/1/2008,1998.324224
3/1/2008,1997.816244
4/1/2008,1997.308264
5/1/2008,1996.800284
6/1/2008,1996.292305
7/1/2008,1995.784325
8/1/2008,1995.276345
9/1/2008,1994.768366
10/1/2008,1994.260386
11/1/2008,1993.752406
12/1/2008,1993.244427
1/1/2009,1986.485954
2/1/2009,1979.725475
3/1/2009,1972.964995
4/1/2009,1966.204516
5/1/2009,1959.444036
6/1/2009,1952.683556
7/1/2009,1945.923077
8/1/2009,1939.162597
9/1/2009,1932.402118
10/1/2009,1925.641638
11/1/2009,1918.881159
12/1/2009,1912.120679
1/1/2010,1914.145188
2/1/2010,1916.176106
3/1/2010,1918.207025
4/1/2010,1920.237944
5/1/2010,1922.268863
6/1/2010,1924.299781
7/1/2010,1926.3307
8/1/2010,1928.361619
9/1/2010,1930.392538
10/1/2010,1932.423456
11/1/2010,1934.454375
12/1/2010,1936.485294
1/1/2011,1914.145188
2/1/2011,1916.176106
3/1/2011,1918.207025
4/1/2011,1920.237944
5/1/2011,1922.268863
6/1/2011,1924.299781
7/1/2011,1926.3307
8/1/2011,1928.361619
9/1/2011,1930.392538
10/1/2011,1932.423456
11/1/2011,1934.454375
12/1/2011,1936.485294
1/1/2012,1967.148061
2/1/2012,1971.371642
3/1/2012,1975.595223
4/1/2012,1979.818804
5/1/2012,1984.042385
6/1/2012,1988.265966
7/1/2012,1992.489547
8/1/2012,1996.713128
9/1/2012,2000.936709
10/1/2012,2005.16029
11/1/2012,2009.383871
12/1/2012,2013.607452
1/1/2013,2017.852886
2/1/2013,2022.096299
3/1/2013,2026.339713
4/1/2013,2030.583127
5/1/2013,2034.82654
6/1/2013,2039.069954
7/1/2013,2043.313367
8/1/2013,2047.556781
9/1/2013,2051.800195
10/1/2013,2056.043608
11/1/2013,2060.287022
12/1/2013,2064.530435
1/1/2014,2070.979088
2/1/2014,2077.426496
3/1/2014,2083.873905
4/1/2014,2090.321314
5/1/2014,2096.768723
6/1/2014,2103.216131
7/1/2014,2109.66354
8/1/2014,2109.66354
9/1/2014,2122.558358
10/1/2014,2129.005766
11/1/2014,2135.453175
12/1/2014,2141.900584
1/1/2015,2149.696799
2/1/2015,2157.490404
3/1/2015,2165.284009
4/1/2015,2173.077614
5/1/2015,2180.871219
6/1/2015,2188.664824
7/1/2015,2196.458429
8/1/2015,2204.252033
9/1/2015,2212.045638
10/1/2015,2219.839243
11/1/2015,2227.632848
12/1/2015,2235.426453
1/1/2016,2240.877488
2/1/2016,2246.321976
3/1/2016,2251.770386
4/1/2016,2257.216834
5/1/2016,2262.663283
6/1/2016,2268.109732
7/1/2016,2273.556181
8/1/2016,2279.00263
9/1/2016,2284.449078
10/1/2016,2289.895527
11/1/2016,2295.341976
12/1/2016,2300.788425
1/1/2017,2305
2/1/2017,2310
3/1/2017,2315
4/1/2017,2320
5/1/2017,2325
6/1/2017,2330
7/1/2017,2315
