Month,GenCalifornia...other.renewables.thousand.megawatthours
1/1/2001,1717.39841
2/1/2001,1504.66303
3/1/2001,1788.32478
4/1/2001,1797.4936
5/1/2001,1831.96794
6/1/2001,1982.97542
7/1/2001,2063.53758
8/1/2001,2040.64779
9/1/2001,1843.36061
10/1/2001,1759.08435
11/1/2001,1610.57418
12/1/2001,1689.58857
1/1/2002,1811.99852
2/1/2002,1626.9538
3/1/2002,1933.86384
4/1/2002,1895.40032
5/1/2002,2077.29368
6/1/2002,2234.09308
7/1/2002,2204.885
8/1/2002,2189.71536
9/1/2002,1954.52568
10/1/2002,1942.42568
11/1/2002,1758.81348
12/1/2002,1777.0128
1/1/2003,1788.3748
2/1/2003,1703.77575
3/1/2003,1983.0067
4/1/2003,1994.0262
5/1/2003,1970.7733
6/1/2003,2239.39425
7/1/2003,2166.92345
8/1/2003,2120.77875
9/1/2003,1999.34356
10/1/2003,1949.128
11/1/2003,1732.58323
12/1/2003,1897.0088
1/1/2004,1807.98022
2/1/2004,1768.37825
3/1/2004,1932.43534
4/1/2004,1948.84655
5/1/2004,2248.9365
6/1/2004,2371.49568
7/1/2004,2336.75446
8/1/2004,2205.47421
9/1/2004,1978.33219
10/1/2004,1940.80441
11/1/2004,1708.64451
12/1/2004,1722.81701
1/1/2005,1795.28215
2/1/2005,1545.74334
3/1/2005,1927.1116
4/1/2005,1981.35142
5/1/2005,2229.36753
6/1/2005,2287.77302
7/1/2005,2215.48118
8/1/2005,2087.29889
9/1/2005,2024.57848
10/1/2005,1947.21311
11/1/2005,1781.66906
12/1/2005,1831.37735
1/1/2006,1878.67071
2/1/2006,1670.3965
3/1/2006,2004.87572
4/1/2006,1870.38146
5/1/2006,2020.97511
6/1/2006,2202.78866
7/1/2006,2226.78841
8/1/2006,2236.40206
9/1/2006,2025.31783
10/1/2006,2021.20088
11/1/2006,1853.48481
12/1/2006,1904.11322
1/1/2007,2136.46265
2/1/2007,1741.36341
3/1/2007,1990.7803
4/1/2007,2104.46887
5/1/2007,2242.14683
6/1/2007,2382.94311
7/1/2007,2357.93791
8/1/2007,2264.21417
9/1/2007,2095.9812
10/1/2007,1963.76068
11/1/2007,1744.40446
12/1/2007,1820.79364
1/1/2008,1869.27736
2/1/2008,1760.44439
3/1/2008,2071.62523
4/1/2008,2092.48377
5/1/2008,2252.97358
6/1/2008,2331.75961
7/1/2008,2430.22415
8/1/2008,2370.29148
9/1/2008,2051.37389
10/1/2008,1914.06357
11/1/2008,1785.78348
12/1/2008,1853.63632
1/1/2009,1752.37064
2/1/2009,1766.99109
3/1/2009,2119.27111
4/1/2009,2204.38302
5/1/2009,2291.79678
6/1/2009,2509.44203
7/1/2009,2647.83822
8/1/2009,2399.12442
9/1/2009,2127.18142
10/1/2009,2037.01076
11/1/2009,1820.36665
12/1/2009,1863.88547
1/1/2010,1769.26892
2/1/2010,1712.28018
3/1/2010,2002.21744
4/1/2010,2076.13486
5/1/2010,2287.64967
6/1/2010,2560.25867
7/1/2010,2672.87758
8/1/2010,2472.65976
9/1/2010,2211.54373
10/1/2010,1901.86599
11/1/2010,1869.32831
12/1/2010,1913.63593
1/1/2011,1825.4533
2/1/2011,1921.85468
3/1/2011,2236.11649
4/1/2011,2474.85316
5/1/2011,2654.95615
6/1/2011,2646.66226
7/1/2011,2588.06213
8/1/2011,2645.85525
9/1/2011,2162.89416
10/1/2011,2067.52108
11/1/2011,2009.52034
12/1/2011,1988.67645
1/1/2012,1990.22249
2/1/2012,2108.22394
3/1/2012,2435.05976
4/1/2012,2358.82693
5/1/2012,3039.42677
6/1/2012,3102.42542
7/1/2012,2808.72934
8/1/2012,2777.0433
9/1/2012,2442.43408
10/1/2012,2483.54879
11/1/2012,2031.62455
12/1/2012,2389.28005
1/1/2013,2174.66925
2/1/2013,2283.21427
3/1/2013,2887.16809
4/1/2013,3233.84464
5/1/2013,3575.20712
6/1/2013,3553.47277
7/1/2013,3422.24574
8/1/2013,3433.47886
9/1/2013,3222.70921
10/1/2013,2807.27191
11/1/2013,2470.97455
12/1/2013,2513.3758
1/1/2014,2446.92983
2/1/2014,2622.30382
3/1/2014,3364.72625
4/1/2014,3670.46587
5/1/2014,4278.25654
6/1/2014,4569.44276
7/1/2014,4083.97057
8/1/2014,4053.27769
9/1/2014,3641.61373
10/1/2014,3374.78605
11/1/2014,3061.16396
12/1/2014,2749.82021
1/1/2015,2468.95167
2/1/2015,2930.35959
3/1/2015,3651.89259
4/1/2015,4095.32478
5/1/2015,4737.98415
6/1/2015,4786.02364
7/1/2015,4671.01915
8/1/2015,4770.13361
9/1/2015,3579.95322
10/1/2015,3272.57857
11/1/2015,3108.11761
12/1/2015,3322.63289
1/1/2016,3038.41003
2/1/2016,3301.31499
3/1/2016,4266.06146
4/1/2016,4338.8528
5/1/2016,5102.01842
6/1/2016,5032.8341
7/1/2016,5509.35861
8/1/2016,5191.68354
9/1/2016,4444.97864
10/1/2016,4109.85423
11/1/2016,3425.83053
12/1/2016,3502.08061
1/1/2017,3913.74114
2/1/2017,3779.51351
3/1/2017,5062.00859
4/1/2017,5155.78836
5/1/2017,5532.79051
6/1/2017,5388.1809
7/1/2017,5008.5397
