Month,Natural.Gas.Consumed.by.the.Electric.Power.Sector..Billion.Cubic.Feet.
1/1/2001,340.292
2/1/2001,312.843
3/1/2001,362.843
4/1/2001,384.494
5/1/2001,433.923
6/1/2001,492.819
7/1/2001,634.425
8/1/2001,686.753
9/1/2001,510.262
10/1/2001,466.08
11/1/2001,350.549
12/1/2001,367.018
1/1/2002,381.434
2/1/2002,344.243
3/1/2002,406.516
4/1/2002,404.384
5/1/2002,410.108
6/1/2002,550.941
7/1/2002,733.887
8/1/2002,717.592
9/1/2002,568.699
10/1/2002,442.357
11/1/2002,351.612
12/1/2002,360.123
1/1/2003,382.443
2/1/2003,334.698
3/1/2003,361.243
4/1/2003,352.164
5/1/2003,394.021
6/1/2003,435.598
7/1/2003,630.27
8/1/2003,683.513
9/1/2003,468.51
10/1/2003,408.817
11/1/2003,348.129
12/1/2003,335.81
1/1/2004,361.401
2/1/2004,373.466
3/1/2004,375.203
4/1/2004,389.328
5/1/2004,485.114
6/1/2004,508.14
7/1/2004,626.401
8/1/2004,612.571
9/1/2004,529.44
10/1/2004,439.841
11/1/2004,376.169
12/1/2004,386.69
1/1/2005,384.71
2/1/2005,330.547
3/1/2005,386.309
4/1/2005,390.358
5/1/2005,422.978
6/1/2005,594.137
7/1/2005,777
8/1/2005,791.293
9/1/2005,577.543
10/1/2005,434.692
11/1/2005,373.351
12/1/2005,406.226
1/1/2006,318.364
2/1/2006,346.138
3/1/2006,406.97
4/1/2006,426.027
5/1/2006,504.409
6/1/2006,629.66
7/1/2006,863.531
8/1/2006,840.197
9/1/2006,548.321
10/1/2006,527.532
11/1/2006,396.586
12/1/2006,414.365
1/1/2007,448.149
2/1/2007,425.485
3/1/2007,416.015
4/1/2007,453.144
5/1/2007,507.089
6/1/2007,628.467
7/1/2007,760.521
8/1/2007,969.433
9/1/2007,683.327
10/1/2007,604.092
11/1/2007,448.18
12/1/2007,497.505
1/1/2008,531.46
2/1/2008,438.868
3/1/2008,460.763
4/1/2008,469.607
5/1/2008,475.467
6/1/2008,665.436
7/1/2008,782.039
8/1/2008,762.946
9/1/2008,602.565
10/1/2008,545.244
11/1/2008,457.591
12/1/2008,476.394
1/1/2009,487.426
2/1/2009,453.472
3/1/2009,499.678
4/1/2009,451.395
5/1/2009,515.476
6/1/2009,642.797
7/1/2009,778.017
8/1/2009,840.317
9/1/2009,690.011
10/1/2009,537.013
11/1/2009,457.085
12/1/2009,519.846
1/1/2010,545.811
2/1/2010,479.615
3/1/2010,456.864
4/1/2010,471.481
5/1/2010,559.665
6/1/2010,705.665
7/1/2010,897.182
8/1/2010,943.002
9/1/2010,696.723
10/1/2010,570.363
11/1/2010,496.539
12/1/2010,564.274
1/1/2011,539.792
2/1/2011,483.686
3/1/2011,481.926
4/1/2011,521.453
5/1/2011,571.998
6/1/2011,699.414
7/1/2011,938.575
8/1/2011,921.449
9/1/2011,684.198
10/1/2011,574.932
11/1/2011,542.546
12/1/2011,613.894
1/1/2012,648.823
2/1/2012,644.53
3/1/2012,674.099
4/1/2012,714.338
5/1/2012,812.467
6/1/2012,879.881
7/1/2012,1081.688
8/1/2012,1003.938
9/1/2012,802.588
10/1/2012,669.195
11/1/2012,579.745
12/1/2012,599.502
1/1/2013,631.685
2/1/2013,568.388
3/1/2013,603.91
4/1/2013,564.827
5/1/2013,614.808
6/1/2013,737.15
7/1/2013,911.124
8/1/2013,900.53
9/1/2013,751.482
10/1/2013,637.038
11/1/2013,601.019
12/1/2013,668.792
1/1/2014,662.881
2/1/2014,551.109
3/1/2014,560.808
4/1/2014,548.899
5/1/2014,646.929
6/1/2014,720.75
7/1/2014,843.303
8/1/2014,897.806
9/1/2014,770.947
10/1/2014,703.39
11/1/2014,600.392
12/1/2014,638.769
1/1/2015,711.324
2/1/2015,648.343
3/1/2015,708.731
4/1/2015,664.276
5/1/2015,734.486
6/1/2015,886.475
7/1/2015,1045.542
8/1/2015,1026.59
9/1/2015,895.044
10/1/2015,791.541
11/1/2015,732.413
12/1/2015,768.606
1/1/2016,770.962
2/1/2016,686.335
3/1/2016,742.605
4/1/2016,721.262
5/1/2016,805.702
6/1/2016,971.342
7/1/2016,1142.161
8/1/2016,1154.593
9/1/2016,914.908
10/1/2016,741.36
11/1/2016,663.538
12/1/2016,668.757
1/1/2017,639.113
2/1/2017,550.276
3/1/2017,667.123
4/1/2017,613.895
5/1/2017,697.129
6/1/2017,834.144
7/1/2017,1051.503
