Month,Natural.Gas.Consumed.by.the.Industrial.Sector..Lease.and.Plant.Fuel..Billion.Cubic.Feet.
1/1/2001,95.602
2/1/2001,86.821
3/1/2001,96.438
4/1/2001,92.602
5/1/2001,94.981
6/1/2001,91.218
7/1/2001,93.635
8/1/2001,94.087
9/1/2001,91.76
10/1/2001,95.679
11/1/2001,91.351
12/1/2001,94.379
1/1/2002,95.508
2/1/2002,86.015
3/1/2002,95.646
4/1/2002,91.995
5/1/2002,94.802
6/1/2002,91.805
7/1/2002,95.227
8/1/2002,93.998
9/1/2002,89.315
10/1/2002,91.673
11/1/2002,91.84
12/1/2002,95.259
1/1/2003,94.993
2/1/2003,86.364
3/1/2003,97.721
4/1/2003,93.569
5/1/2003,95.542
6/1/2003,92.521
7/1/2003,93.673
8/1/2003,95.576
9/1/2003,92.079
10/1/2003,95.213
11/1/2003,91.026
12/1/2003,94.005
1/1/2004,94.386
2/1/2004,87.746
3/1/2004,95.007
4/1/2004,91.478
5/1/2004,92.131
6/1/2004,90.387
7/1/2004,92.943
8/1/2004,92.594
9/1/2004,87.371
10/1/2004,91.736
11/1/2004,89.828
12/1/2004,92.299
1/1/2005,96.256
2/1/2005,88.43
3/1/2005,98.748
4/1/2005,94.125
5/1/2005,95.833
6/1/2005,93.862
7/1/2005,94.516
8/1/2005,94.493
9/1/2005,83.252
10/1/2005,88.025
11/1/2005,89.739
12/1/2005,94.239
1/1/2006,95.508
2/1/2006,86.529
3/1/2006,96.527
4/1/2006,92.558
5/1/2006,95.279
6/1/2006,94.355
7/1/2006,96.237
8/1/2006,96.815
9/1/2006,94.66
10/1/2006,98.383
11/1/2006,95.56
12/1/2006,99.566
1/1/2007,100.343
2/1/2007,91.902
3/1/2007,103.417
4/1/2007,98.777
5/1/2007,104.599
6/1/2007,101.193
7/1/2007,103.426
8/1/2007,104.005
9/1/2007,101.696
10/1/2007,105.256
11/1/2007,103.977
12/1/2007,107.796
1/1/2008,101.995
2/1/2008,96.255
3/1/2008,104.226
4/1/2008,100.538
5/1/2008,103.871
6/1/2008,101.738
7/1/2008,107.037
8/1/2008,105.516
9/1/2008,90.069
10/1/2008,101.348
11/1/2008,101.561
12/1/2008,105.549
1/1/2009,110.186
2/1/2009,100.434
3/1/2009,110.456
4/1/2009,105.047
5/1/2009,108.587
6/1/2009,105.563
7/1/2009,107.672
8/1/2009,108.525
9/1/2009,102.145
10/1/2009,106.913
11/1/2009,103.532
12/1/2009,106.179
1/1/2010,105.622
2/1/2010,97.743
3/1/2010,108.557
4/1/2010,104.763
5/1/2010,107.55
6/1/2010,102.824
7/1/2010,106.759
8/1/2010,108.019
9/1/2010,107.186
10/1/2010,112.815
11/1/2010,109.026
12/1/2010,114.763
1/1/2011,106.975
2/1/2011,96.973
3/1/2011,111.445
4/1/2011,108.766
5/1/2011,111.897
6/1/2011,107.452
7/1/2011,109.606
8/1/2011,110.98
9/1/2011,109.465
10/1/2011,116.32
11/1/2011,114.768
12/1/2011,117.941
1/1/2012,118.883
2/1/2012,109.038
3/1/2012,117.005
4/1/2012,112.909
5/1/2012,117.153
6/1/2012,112.654
7/1/2012,119.418
8/1/2012,118.83
9/1/2012,115.658
10/1/2012,119.771
11/1/2012,116.074
12/1/2012,118.88
1/1/2013,123.951
2/1/2013,112.282
3/1/2013,123.977
4/1/2013,121.527
5/1/2013,125.149
6/1/2013,120.934
7/1/2013,127.432
8/1/2013,127.158
9/1/2013,122.736
10/1/2013,127.212
11/1/2013,124.369
12/1/2013,126.358
1/1/2014,120.915
2/1/2014,111.8
3/1/2014,124.673
4/1/2014,123.603
5/1/2014,127.034
6/1/2014,123.57
7/1/2014,130.405
8/1/2014,131.115
9/1/2014,126.84
10/1/2014,132.368
11/1/2014,127.279
12/1/2014,132.541
1/1/2015,132.608
2/1/2015,120.37
3/1/2015,133.856
4/1/2015,131.408
5/1/2015,133.834
6/1/2015,129.215
7/1/2015,133.945
8/1/2015,134.098
9/1/2015,130.591
10/1/2015,133.961
11/1/2015,129.096
12/1/2015,133.407
1/1/2016,136.375
2/1/2016,129.215
3/1/2016,136.699
4/1/2016,132.099
5/1/2016,135.848
6/1/2016,129.674
7/1/2016,135.136
8/1/2016,133.708
9/1/2016,128.602
10/1/2016,132.022
11/1/2016,128.941
12/1/2016,131.547
1/1/2017,130.935
2/1/2017,120.215
3/1/2017,133.076
4/1/2017,128.994
5/1/2017,133.635
6/1/2017,130.701
7/1/2017,136.431
