Month,Natural.Gas.Consumed.by.the.Transportation.Sector..Pipelines.and.Distribution..Billion.Cubic.Feet.
1/1/2001,76.386
2/1/2001,65.77
3/1/2001,63.626
4/1/2001,50.736
5/1/2001,42.238
6/1/2001,40.041
7/1/2001,44.518
8/1/2001,46.609
9/1/2001,41.497
10/1/2001,45.967
11/1/2001,47.63
12/1/2001,59.946
1/1/2002,72.857
2/1/2002,65.626
3/1/2002,65.87
4/1/2002,54.441
5/1/2002,46.147
6/1/2002,45.601
7/1/2002,50.359
8/1/2002,49.635
9/1/2002,44.256
10/1/2002,47.265
11/1/2002,55.394
12/1/2002,69.469
1/1/2003,72.816
2/1/2003,67.462
3/1/2003,58.692
4/1/2003,46.108
5/1/2003,39.657
6/1/2003,35.652
7/1/2003,42.107
8/1/2003,43.482
9/1/2003,37.347
10/1/2003,40.742
11/1/2003,46.462
12/1/2003,60.963
1/1/2004,68.605
2/1/2004,64.405
3/1/2004,53.307
4/1/2004,43.947
5/1/2004,39.356
6/1/2004,37.031
7/1/2004,39.651
8/1/2004,39.477
9/1/2004,37.067
10/1/2004,38.942
11/1/2004,44.99
12/1/2004,59.411
1/1/2005,68.889
2/1/2005,60.2
3/1/2005,58.871
4/1/2005,45.564
5/1/2005,39.863
6/1/2005,40.242
7/1/2005,44.485
8/1/2005,44.721
9/1/2005,37.415
10/1/2005,37.443
11/1/2005,43.968
12/1/2005,62.367
1/1/2006,58.834
2/1/2006,58.49
3/1/2006,57.677
4/1/2006,45.145
5/1/2006,40.665
6/1/2006,41.391
7/1/2006,47.255
8/1/2006,47.038
9/1/2006,38.844
10/1/2006,43.924
11/1/2006,47.451
12/1/2006,57.501
1/1/2007,67.439
2/1/2007,70.273
3/1/2007,57.526
4/1/2007,48.595
5/1/2007,41.342
6/1/2007,41.31
7/1/2007,44.231
8/1/2007,50.914
9/1/2007,42.286
10/1/2007,43.236
11/1/2007,49.14
12/1/2007,65.072
1/1/2008,77.313
2/1/2008,70.698
3/1/2008,63.85
4/1/2008,50.623
5/1/2008,43.282
6/1/2008,44.156
7/1/2008,47.092
8/1/2008,46.361
9/1/2008,40.239
10/1/2008,45.052
11/1/2008,51.903
12/1/2008,67.386
1/1/2009,81.144
2/1/2009,69.119
3/1/2009,63.814
4/1/2009,50.684
5/1/2009,43.256
6/1/2009,44.075
7/1/2009,48.056
8/1/2009,50.455
9/1/2009,45.621
10/1/2009,48.298
11/1/2009,51.782
12/1/2009,73.871
1/1/2010,79.95
2/1/2010,70.46
3/1/2010,60.147
4/1/2010,46.922
5/1/2010,44.635
6/1/2010,45.728
7/1/2010,50.825
8/1/2010,52.357
9/1/2010,45.244
10/1/2010,45.889
11/1/2010,55.118
12/1/2010,76.849
1/1/2011,82.626
2/1/2011,69.965
3/1/2011,62.944
4/1/2011,50.979
5/1/2011,46.204
6/1/2011,46.037
7/1/2011,52.9
8/1/2011,52.896
9/1/2011,45.927
10/1/2011,48.362
11/1/2011,56.945
12/1/2011,72
1/1/2012,79.832
2/1/2012,72.395
3/1/2012,60.866
4/1/2012,55.702
5/1/2012,53.175
6/1/2012,53.145
7/1/2012,59.038
8/1/2012,57.21
9/1/2012,51.204
10/1/2012,53.921
11/1/2012,62.107
12/1/2012,72.195
1/1/2013,93.018
2/1/2013,82.89
3/1/2013,80.94
4/1/2013,62.329
5/1/2013,54.947
6/1/2013,54.767
7/1/2013,60.741
8/1/2013,60.785
9/1/2013,55.518
10/1/2013,58.737
11/1/2013,74.032
12/1/2013,94.357
1/1/2014,86.069
2/1/2014,73.402
3/1/2014,67.924
4/1/2014,51.31
5/1/2014,46.987
6/1/2014,45.272
7/1/2014,48.869
8/1/2014,50.302
9/1/2014,46.966
10/1/2014,49.702
11/1/2014,62.258
12/1/2014,71.09
1/1/2015,78.8
2/1/2015,74.108
3/1/2015,64.931
4/1/2015,49.581
5/1/2015,45.56
6/1/2015,46.785
7/1/2015,51.094
8/1/2015,50.694
9/1/2015,46.786
10/1/2015,48.969
11/1/2015,56.016
12/1/2015,64.859
1/1/2016,79.601
2/1/2016,67.929
3/1/2016,59.803
4/1/2016,52.716
5/1/2016,49.436
6/1/2016,50.52
7/1/2016,55.432
8/1/2016,56.083
9/1/2016,49.09
10/1/2016,48.323
11/1/2016,54.818
12/1/2016,73.68
1/1/2017,73.356
2/1/2017,58.875
3/1/2017,63.788
4/1/2017,48.577
5/1/2017,47.874
6/1/2017,47.968
7/1/2017,53.572
