Month,Solar.Consump.TrillionBTU.
1/1/2001,3.102
2/1/2001,3.401
3/1/2001,4.833
4/1/2001,5.368
5/1/2001,6.322
6/1/2001,6.476
7/1/2001,6.76
8/1/2001,6.63
9/1/2001,5.913
10/1/2001,4.994
11/1/2001,4.068
12/1/2001,3.763
1/1/2002,3.056
2/1/2002,3.41
3/1/2002,4.819
4/1/2002,5.28
5/1/2002,5.901
6/1/2002,6.334
7/1/2002,6.499
8/1/2002,6.333
9/1/2002,5.616
10/1/2002,4.946
11/1/2002,4.085
12/1/2002,3.649
1/1/2003,3.003
2/1/2003,3.273
3/1/2003,4.768
4/1/2003,5.308
5/1/2003,5.873
6/1/2003,6.15
7/1/2003,6.124
8/1/2003,6.063
9/1/2003,5.523
10/1/2003,4.877
11/1/2003,3.848
12/1/2003,3.561
1/1/2004,2.973
2/1/2004,3.177
3/1/2004,4.758
4/1/2004,5.229
5/1/2004,5.963
6/1/2004,6.07
7/1/2004,6.271
8/1/2004,6.121
9/1/2004,5.525
10/1/2004,4.818
11/1/2004,3.83
12/1/2004,3.568
1/1/2005,2.919
2/1/2005,3.184
3/1/2005,4.588
4/1/2005,5.219
5/1/2005,5.93
6/1/2005,6.049
7/1/2005,6.145
8/1/2005,6.123
9/1/2005,5.504
10/1/2005,4.836
11/1/2005,3.786
12/1/2005,3.5
1/1/2006,3.138
2/1/2006,3.438
3/1/2006,4.802
4/1/2006,5.444
5/1/2006,6.141
6/1/2006,6.18
7/1/2006,6.373
8/1/2006,6.525
9/1/2006,5.736
10/1/2006,5.06
11/1/2006,4.043
12/1/2006,3.717
1/1/2007,3.342
2/1/2007,3.656
3/1/2007,5.255
4/1/2007,5.801
5/1/2007,6.642
6/1/2007,6.697
7/1/2007,7.002
8/1/2007,6.833
9/1/2007,6.229
10/1/2007,5.549
11/1/2007,4.393
12/1/2007,3.995
1/1/2008,3.7
2/1/2008,4.168
3/1/2008,5.992
4/1/2008,6.721
5/1/2008,7.369
6/1/2008,7.716
7/1/2008,7.867
8/1/2008,7.742
9/1/2008,7.027
10/1/2008,6.167
11/1/2008,4.856
12/1/2008,4.523
1/1/2009,3.808
2/1/2009,4.327
3/1/2009,6.314
4/1/2009,7.089
5/1/2009,7.833
6/1/2009,7.825
7/1/2009,8.338
8/1/2009,8.216
9/1/2009,7.386
10/1/2009,6.551
11/1/2009,5.223
12/1/2009,4.79
1/1/2010,4.357
2/1/2010,4.913
3/1/2010,7.07
4/1/2010,8.07
5/1/2010,9.194
6/1/2010,9.487
7/1/2010,9.73
8/1/2010,9.597
9/1/2010,8.704
10/1/2010,7.445
11/1/2010,6.253
12/1/2010,5.657
1/1/2011,5.437
2/1/2011,6.273
3/1/2011,8.69
4/1/2011,9.861
5/1/2011,10.98
6/1/2011,11.374
7/1/2011,11.524
8/1/2011,11.794
9/1/2011,10.53
10/1/2011,9.496
11/1/2011,7.567
12/1/2011,7.365
1/1/2012,7.183
2/1/2012,8.052
3/1/2012,11.522
4/1/2012,13.306
5/1/2012,15.744
6/1/2012,16.459
7/1/2012,16.862
8/1/2012,16.279
9/1/2012,15.202
10/1/2012,13.988
11/1/2012,11.411
12/1/2012,11.014
1/1/2013,10.477
2/1/2013,12.235
3/1/2013,17.08
4/1/2013,18.672
5/1/2013,20.772
6/1/2013,22.02
7/1/2013,22.304
8/1/2013,23.254
9/1/2013,22.046
10/1/2013,21.264
11/1/2013,17.579
12/1/2013,17.331
1/1/2014,16.507
2/1/2014,17.902
3/1/2014,26.136
4/1/2014,28.974
5/1/2014,33.025
6/1/2014,34.805
7/1/2014,34.235
8/1/2014,34.967
9/1/2014,33.126
10/1/2014,30.806
11/1/2014,25.002
12/1/2014,21.307
1/1/2015,21.034
2/1/2015,25.046
3/1/2015,34.904
4/1/2015,39.551
5/1/2015,42.508
6/1/2015,43.201
7/1/2015,44.931
8/1/2015,45.238
9/1/2015,38.951
10/1/2015,34.27
11/1/2015,29.627
12/1/2015,27.201
1/1/2016,26.946
2/1/2016,37.708
3/1/2016,45.164
4/1/2016,49.638
5/1/2016,58.012
6/1/2016,58.663
7/1/2016,64.135
8/1/2016,61.967
9/1/2016,56.81
10/1/2016,49.953
11/1/2016,41.581
12/1/2016,36.521
1/1/2017,35.95
2/1/2017,41.091
3/1/2017,65.959
4/1/2017,71.658
5/1/2017,83.532
6/1/2017,88.257
7/1/2017,82.763
